,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1,D Bishoo ,WI,42,40,2022,1668,38,Mar-30,43.89,4.94,53.2,0,0
2,MG Hughes ,AUS,33,33,1639,1115,38,Apr-44,29.34,4.08,43.1,1,0
3,AJ Ireland ,ZIM,26,26,1326,1115,38,Mar-41,29.34,5.04,34.8,0,0
4,Nadeem Ahmed ,HKG,25,25,1327,932,38,Apr-26,24.52,4.21,34.9,4,0
5,Rohan Mustafa ,UAE,34,33,1583,1245,38,May-25,32.76,4.71,41.6,1,1
6,R Vinay Kumar ,INDIA,31,31,1436,1423,38,Apr-30,37.44,5.94,37.7,1,0
7,TJ Friend ,ZIM,51,45,1930,1779,37,Apr-55,48.08,5.53,52.1,1,0
8,MR Gillespie ,NZ,32,31,1521,1369,37,Apr-58,37,5.4,41.1,1,0
9,EE Hemmings ,ENG,33,32,1752,1294,37,Apr-52,34.97,4.43,47.3,1,0
10,M Kartik ,INDIA,37,36,1907,1612,37,Jun-27,43.56,5.07,51.5,0,1
11,Mehidy Hasan Miraz ,BDESH,38,37,1957,1520,37,Apr-29,41.08,4.66,52.8,1,0
12,KS Williamson ,NZ,149,65,1467,1310,37,Apr-22,35.4,5.35,39.6,1,0
13,HMCM Bandara ,SL,31,28,1470,1232,36,Apr-31,34.22,5.02,40.8,2,0
14,EAE Baptiste ,WI,43,43,2214,1511,36,02-Oct,41.97,4.09,61.5,0,0
